time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,48,12,0,0
2026-04-30 00:00:00+00:00,59,14,0,0
2026-05-01 00:00:00+00:00,29,7,0,0
2026-05-02 00:00:00+00:00,33,8,0,0
2026-05-03 00:00:00+00:00,11,5,2,2
2026-05-04 00:00:00+00:00,10,4,1,1
2026-05-05 00:00:00+00:00,30,11,0,0
2026-05-06 00:00:00+00:00,13,7,0,0
2026-05-07 00:00:00+00:00,28,11,3,1
2026-05-08 00:00:00+00:00,13,5,0,0
2026-05-09 00:00:00+00:00,27,10,0,0
2026-05-10 00:00:00+00:00,14,5,1,1
2026-05-11 00:00:00+00:00,1,1,5,3
2026-05-12 00:00:00+00:00,18,5,0,0
