url_path,views_total,views_unique
/cubicleguy/xv7021_arduino_spi,5,3
/cubicleguy/xv7021_arduino_spi/tree/main/examples,4,1
/cubicleguy/xv7021_arduino_spi/blob/main/examples/xv7021bb_spi_sampling_three_gyro/xv7021bb_spi_sampling_three_gyro.ino,2,1
/cubicleguy/xv7021_arduino_spi/releases/tag/v1.0.0,2,1
/cubicleguy/xv7021_arduino_spi/tree/main/examples/xv7021bb_spi_sampling_single_gyro,2,1
/cubicleguy/xv7021_arduino_spi/blame/main/examples/xv7021bb_spi_sampling_three_gyro/xv7021bb_spi_sampling_three_gyro.ino,1,1
/cubicleguy/xv7021_arduino_spi/tree/main/examples/xv7021bb_spi_sampling_three_gyro,1,1
/cubicleguy/xv7021_arduino_spi/tree/main/src,1,1
